ds,y
2004-01-01,726.3411111111111
2007-01-01,666.0688888888889
2009-01-01,3241.8794444444447
2010-01-01,2525.825185185185
2011-01-01,1700.8558518518519
2012-01-01,1500.2150476190475
2013-01-01,1685.7766222222224
2014-01-01,561.2001604938272
2015-01-01,1232.9339027777778
2016-01-01,1512.6270925925926
2017-01-01,1222.0531910112359
2018-01-01,296.24385185185184
2019-01-01,1383.342507936508
2020-01-01,695.3935555555555
2021-01-01,819.1897361111111
2022-01-01,755.089074074074
2023-01-01,1278.403
2024-01-01,1765.5337435897436
