ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,397.974,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,2534.774,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,134.637,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,2400.137,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,579.518,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,1820.619,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,2096.842,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,125.191,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,1971.651,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,412.426,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,1559.225,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,437.932,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,9.446,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,428.486,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
