ds,y
2004,7.057
2005,12.795333333333332
2006,18.533666666666665
2007,24.272
2008,80.9065
2009,137.541
2010,191.065
2011,389.33399999999995
2012,366.411
2013,144.559
2014,74.734
2015,152.267
2016,106.838
2017,150.144
2018,34.149
2019,229.392
2020,34.633
2021,61.141
2022,93.53999999999999
2023,162.185
2024,310.441
