ds,y
2004,125.388
2005,111.236
2006,97.084
2007,82.932
2008,978.6585
2009,1874.385
2010,2102.835
2011,2586.153
2012,2517.4170000000004
2013,2439.376
2014,1114.406
2015,2913.5629999999996
2016,2709.388
2017,3482.111
2018,582.478
2019,5369.961
2020,925.309
2021,1312.938
2022,2090.73
2023,4490.6410000000005
2024,5611.872
