ds,y
2004,153.857
2005,122.50033333333333
2006,91.14366666666666
2007,59.787
2008,298.6745
2009,537.562
2010,605.149
2011,879.8340000000001
2012,793.997
2013,791.086
2014,444.25
2015,1083.2730000000001
2016,851.913
2017,1070.7199999999998
2018,211.104
2019,1672.45
2020,313.329
2021,689.626
2022,794.4350000000001
2023,1371.911
2024,2148.091
