ds,y
2004,5.777
2005,10.675666666666666
2006,15.574333333333332
2007,20.473
2008,116.992
2009,213.511
2010,215.363
2011,291.42
2012,317.403
2013,280.932
2014,183.107
2015,286.223
2016,237.376
2017,308.88100000000003
2018,85.17099999999999
2019,527.259
2020,115.822
2021,379.736
2022,282.42
2023,384.13300000000004
2024,629.129
