ds,y
2004,55.612
2005,55.415
2006,55.218
2007,55.021
2008,214.63400000000001
2009,374.247
2010,528.2850000000001
2011,602.306
2012,620.148
2013,639.76
2014,366.741
2015,703.152
2016,646.832
2017,686.841
2018,200.513
2019,1642.692
2020,243.76800000000003
2021,625.5989999999999
2022,1872.3249999999998
2023,1126.442
2024,2030.034
